,TransactionTrend,Account,FamilyMembers,Gender,long,Name,AvgMonthlySpending,merchantId,CreditScore,merchantType,Age,lat,amount,BalanceAmount,PreviousDaySpending,accountType,CreditLimit,accountNumber,transactionId,IncomeCategory,name,NrOfDebCards,Tel,CrmSegment,ShortTermCredit,NrOfCredCards,feature_1
573,Dec,230011073,4,F,19.0602603,Fodor Alex,692076,1062,XL,szórakozás,64,47.4771073,1299,84796,140109,DINERS,810000,3916 0706 6664 4439,5382376259,XXL,A38,1,3680570312,Young,Y,2,0.0
577,Dec,230011073,4,F,19.0602603,Fodor Alex,692076,1062,XL,szórakozás,64,47.4771073,5600,84796,140109,DINERS,810000,3916 0706 6664 4439,5382376263,XXL,A38,1,3680570312,Young,Y,2,0.0
1046,Dec,230011073,4,F,19.0602603,Fodor Alex,692076,1062,XL,szórakozás,64,47.4771073,1486,84796,140109,VISA,810000,2285 0266 2657 3193,5382376732,XXL,A38,1,3680570312,Young,Y,2,0.0
350,DecDec,230011102,4,F,19.0602603,Orbán Áron,363028,1062,L,szórakozás,75,47.4771073,5013,61287,200640,MASTERCARD,580000,4102 4615 9050 0243,5382376036,L,A38,2,3680600103,TransCredit,N,3,0.0
1548,DecDec,230011102,4,F,19.0602603,Orbán Áron,363028,1062,L,szórakozás,75,47.4771073,6211,61287,200640,MASTERCARD,580000,8763 6560 2726 0667,5382377234,L,A38,2,3680600103,TransCredit,N,3,0.0
1407,Stab,230011009,4,N,19.0602603,Simon Abigél,982061,1062,XS,szórakozás,43,47.4771073,5538,758028,64248,MASTERCARD,820000,0130 8405 1665 5304,5382377093,S,A38,1,3680488001,NoTrans,N,0,0.0
967,Stab,230011009,4,N,19.0602603,Simon Abigél,982061,1062,XS,szórakozás,43,47.4771073,1725,758028,64248,MASTERCARD,820000,0130 8405 1665 5304,5382376653,S,A38,1,3680488001,NoTrans,N,0,0.0
1750,DecDec,230010988,2,N,19.0602603,Pataki Lara,898712,1062,NO,szórakozás,64,47.4771073,7217,637156,61910,MASTERCARD,270000,7975 4450 4942 6043,5382377436,XL,A38,2,3680771573,NoTrans,Y,1,0.0
2122,DecDec,230010895,4,N,19.0602603,Borbély Adél,1008454,1062,XS,szórakozás,47,47.4771073,2878,597727,319677,JCB,370000,6346 0340 0363 4839,5382377808,S,A38,1,3680458235,TransCredit,Y,0,0.0
1133,Inact,230010722,3,F,19.0602603,Somogyi Zalán,834673,1062,S,szórakozás,46,47.4771073,1773,624991,40770,VISA,720000,2649 8710 6398 0820,5382376819,XXL,A38,3,3680202941,TransCredit,Y,0,0.0
2226,Inact,230010993,3,N,19.0602603,Borbély Léna,973234,1062,S,szórakozás,50,47.4771073,1330,590503,116192,MASTERCARD,1110000,4669 7071 2658 1810,5382377912,S,A38,1,3680110396,TransCredit,Y,0,0.0
272,IncInc,230010922,1,N,19.0602603,Pataki Réka,212571,1062,XS,szórakozás,20,47.4771073,7735,596467,199222,VISA,460000,0070 7322 4491 8490,5382375958,L,A38,3,3680467424,Young,N,0,0.0
487,Inact,230010950,2,N,19.0602603,Borbély Maja,977628,1062,NO,szórakozás,70,47.4771073,7284,504388,220671,MASTERCARD,1050000,9988 9565 3534 1521,5382376173,L,A38,3,3680111000,NoTrans,N,1,0.0
887,Inact,230010950,2,N,19.0602603,Borbély Maja,977628,1062,NO,szórakozás,70,47.4771073,3133,504388,220671,VISA,1050000,0542 4977 8636 4042,5382376573,L,A38,3,3680111000,NoTrans,N,1,0.0
678,Stab,230011015,4,N,19.0602603,Horváth Szonja,409079,1062,S,szórakozás,19,47.4771073,1179,566890,82674,DINERS,240000,7890 9419 3959 6201,5382376364,M,A38,3,3680532393,CreditAct,N,0,0.0
1512,DecDec,230010938,5,N,19.0602603,Orosz Luca,482001,1062,NO,szórakozás,55,47.4771073,1156,578935,29160,JCB,100000,6721 8344 0684 1357,5382377198,XS,A38,3,3680790305,CreditAct,Y,1,0.0
2200,IncInc,230010800,5,F,19.0602603,Kis Rikárdó,196793,1062,S,szórakozás,50,47.4771073,2482,486804,269672,AMEX,1040000,0458 2328 6663 3554,5382377886,XXL,A38,3,3680174551,TransCredit,Y,1,0.0
2168,Stab,230010846,3,N,19.0602603,Halász Dorottya,116263,1062,NO,szórakozás,68,47.4771073,2822,648864,211982,DINERS,230000,8417 8764 7881 2252,5382377854,L,A38,1,3680689126,CreditAct,N,0,0.0
617,DecDec,230010901,4,N,19.0602603,Lukács Kinga,965850,1062,XS,szórakozás,50,47.4771073,7874,701002,108633,JCB,410000,5919 8087 0381 2885,5382376303,XL,A38,3,3680421859,Young,N,0,0.0
811,DecDec,230010901,4,N,19.0602603,Lukács Kinga,965850,1062,XS,szórakozás,50,47.4771073,4516,701002,108633,JCB,410000,5919 8087 0381 2885,5382376497,XL,A38,3,3680421859,Young,N,0,0.0
24,IncInc,230011064,4,F,19.0602603,Szőke Ármin,533942,1062,XL,szórakozás,20,47.4771073,1659,76623,190099,MAESTRO,550000,2167 9719 6711 9155,5382375710,XL,A38,2,3680506162,TransCredit,Y,3,0.0
1253,DecDec,230011063,1,N,19.0602603,Papp Blanka,117688,1062,M,szórakozás,57,47.4771073,7476,27300,191579,DINERS,300000,9278 2792 1228 3351,5382376939,XXL,A38,2,3680503543,TransCredit,N,3,0.0
918,IncInc,230011054,1,F,19.0602603,Kocsis Sándor,265766,1062,L,szórakozás,21,47.4771073,1128,28425,47709,MAESTRO,990000,8855 9270 7806 6001,5382376604,XL,A38,2,3680223155,Young,Y,3,1.0
1972,Inact,230010773,5,F,19.0602603,Tamás Richárd,48979,1062,NO,szórakozás,21,47.4771073,2543,381364,152979,JCB,1200000,9693 9716 8592 5437,5382377658,XL,A38,1,3680655699,Pension,N,1,0.0
1197,Stab,230011040,5,F,19.0602603,Faragó Áron,858983,1062,L,szórakozás,73,47.4771073,5203,219935,112348,DINERS,900000,3198 4066 9043 8461,5382376883,XL,A38,3,3680159834,Young,Y,3,1.0
2218,IncInc,230010955,5,N,19.0602603,Fábián Viktória,290407,1062,XS,szórakozás,24,47.4771073,4942,453649,235214,VISA,560000,7037 2364 3446 9663,5382377904,XXL,A38,2,3680223335,Young,Y,1,0.0
518,Inact,230010896,1,F,19.0602603,Sándor Erik,874050,1062,S,szórakozás,37,47.4771073,4957,377058,167236,MASTERCARD,350000,1977 4045 8499 1539,5382376204,XL,A38,1,3680857174,Pension,N,0,0.0
582,IncInc,230010789,4,F,19.0602603,Barna Kristóf,870662,1062,XS,szórakozás,62,47.4771073,2413,600620,287622,VISA,360000,7166 0468 2404 1072,5382376268,M,A38,1,3680306864,Young,Y,1,0.0
997,Stab,230011043,2,N,19.0602603,Pintér Lara,680394,1062,XL,szórakozás,43,47.4771073,4832,133666,136745,AMEX,1130000,0385 8912 8835 2574,5382376683,XS,A38,2,3680102009,Pension,N,2,0.0
374,Stab,230011038,1,N,19.0602603,Lengyel Rebeka,570083,1062,XL,szórakozás,75,47.4771073,7732,160177,275301,MASTERCARD,390000,7626 2650 8426 3190,5382376060,S,A38,1,3680609293,Pension,N,2,0.0
375,Stab,230011038,1,N,19.0602603,Lengyel Rebeka,570083,1062,XL,szórakozás,75,47.4771073,7257,160177,275301,MASTERCARD,390000,7626 2650 8426 3190,5382376061,S,A38,1,3680609293,Pension,N,2,1.0
1529,Stab,230011038,1,N,19.0602603,Lengyel Rebeka,570083,1062,XL,szórakozás,75,47.4771073,2584,160177,275301,MASTERCARD,390000,7626 2650 8426 3190,5382377215,S,A38,1,3680609293,Pension,N,2,0.0
1465,IncInc,230011086,1,F,19.0602603,Szilágyi Norbert,600153,1062,L,szórakozás,31,47.4771073,2325,135335,271404,MASTERCARD,110000,4842 9051 9875 0714,5382377151,M,A38,1,3680193056,TransCredit,Y,1,0.0
1452,Inc,230010766,2,F,19.0602603,Faragó Marcell,674567,1062,S,szórakozás,54,47.4771073,6917,420499,230488,MAESTRO,110000,3569 5339 6547 5763,5382377138,XS,A38,3,3680610096,Young,N,0,0.0
340,Inact,230010940,1,N,19.0602603,Orbán Diána,382381,1062,NO,szórakozás,73,47.4771073,5880,490705,89237,JCB,700000,7210 1913 9727 2697,5382376026,L,A38,1,3680740236,NoTrans,N,1,0.0
1228,Dec,230011071,5,N,19.0602603,Takács Dorottya,801228,1062,M,szórakozás,66,47.4771073,2626,213827,46654,VISA,710000,3261 7500 7925 1463,5382376914,M,A38,2,3680318386,TransCredit,Y,2,1.0
1114,Inc,230010844,1,F,19.0602603,Sipos Hunor,276600,1062,XS,szórakozás,59,47.4771073,3700,264412,88344,JCB,330000,6480 1683 1472 7534,5382376800,L,A38,1,3680306477,Pension,Y,1,0.0
1117,Inc,230010844,1,F,19.0602603,Sipos Hunor,276600,1062,XS,szórakozás,59,47.4771073,1032,264412,88344,JCB,330000,6480 1683 1472 7534,5382376803,L,A38,1,3680306477,Pension,Y,1,0.0
446,Inc,230010721,4,N,19.0602603,Szűcs Kata,750875,1062,S,szórakozás,22,47.4771073,3619,637777,24982,AMEX,1180000,3331 5669 1949 6101,5382376132,L,A38,3,3680282678,NoTrans,Y,1,0.0
448,Inc,230010721,4,N,19.0602603,Szűcs Kata,750875,1062,S,szórakozás,22,47.4771073,2728,637777,24982,AMEX,1180000,3331 5669 1949 6101,5382376134,L,A38,3,3680282678,NoTrans,Y,1,0.0
507,IncInc,230010742,2,F,19.0602603,Váradi István,402006,1062,NO,szórakozás,69,47.4771073,2372,278690,269935,MASTERCARD,980000,4454 0711 4615 7445,5382376193,S,A38,2,3680188467,NoTrans,N,1,0.0
2296,Inact,230011084,5,N,19.0602603,Barta Flóra,374271,1062,XL,szórakozás,69,47.4771073,4853,124494,26233,MAESTRO,1060000,1234 1439 2752 1072,5382377982,L,A38,2,3680262146,TransCredit,Y,1,0.0
1869,Inact,230010824,1,F,19.0602603,Németh József,770544,1062,NO,szórakozás,68,47.4771073,6772,753767,108400,JCB,650000,1320 1379 7827 5924,5382377555,XXL,A38,3,3680147654,Pension,Y,0,0.0
1651,Dec,230010713,4,F,19.0602603,Pap Dávid,911345,1062,NO,szórakozás,38,47.4771073,5789,641557,140355,DINERS,230000,6603 0537 9651 6524,5382377337,L,A38,1,3680291312,NoTrans,Y,0,0.0
700,Inact,230010762,1,N,19.0602603,Faragó Zoé,262330,1062,S,szórakozás,53,47.4771073,4911,332718,110139,AMEX,310000,3595 3093 0028 0254,5382376386,XXL,A38,2,3680775045,Pension,Y,1,0.0
2119,IncInc,230010820,3,F,19.0602603,Major Mátyás,215156,1062,XS,szórakozás,38,47.4771073,1662,506306,86599,DINERS,680000,5795 3955 2618 3067,5382377805,S,A38,1,3680511077,Young,Y,0,0.0
1573,Stab,230010888,1,N,19.0602603,Fodor Liza,537697,1062,S,szórakozás,63,47.4771073,5949,401477,156436,VISA,160000,1952 8412 3275 0378,5382377259,XXL,A38,2,3680734012,CreditAct,N,0,0.0
424,Inact,230011048,5,F,19.0602603,Hajdu Vilmos,928247,1062,L,szórakozás,35,47.4771073,6860,174213,122792,MAESTRO,820000,2743 3055 1577 3258,5382376110,XS,A38,3,3680845545,NoTrans,N,2,0.0
1422,Inact,230010772,5,F,19.0602603,Halász Levente,497115,1062,XS,szórakozás,24,47.4771073,7255,733273,220639,MASTERCARD,200000,5165 0596 8450 9036,5382377108,XXL,A38,3,3680461931,Pension,Y,1,0.0
1612,Inact,230011016,3,N,19.0602603,Major Natália,786541,1062,NO,szórakozás,64,47.4771073,4333,500750,191247,DINERS,460000,3407 9321 4441 0958,5382377298,L,A38,2,3680389771,CreditAct,N,1,0.0
1615,Inact,230011016,3,N,19.0602603,Major Natália,786541,1062,NO,szórakozás,64,47.4771073,1345,500750,191247,DINERS,460000,3407 9321 4441 0958,5382377301,L,A38,2,3680389771,CreditAct,N,1,0.0
755,Inc,230010787,5,N,19.0602603,Szekeres Mira,620225,1062,S,szórakozás,32,47.4771073,4854,492373,19532,MASTERCARD,820000,7383 3644 1248 4331,5382376441,XL,A38,2,3680740817,Pension,N,1,0.0
197,DecDec,230010723,4,F,19.0602603,Biró Mihály,489029,1062,S,szórakozás,38,47.4771073,7683,234633,307142,AMEX,930000,7435 3335 5842 6708,5382375883,XXL,A38,3,3680365125,CreditAct,N,1,0.0
1528,Inact,230010874,1,F,19.0602603,Dudás Ármin,652645,1062,NO,szórakozás,66,47.4771073,3506,689063,75679,VISA,560000,3182 5856 0481 4496,5382377214,S,A38,2,3680499008,CreditAct,Y,1,0.0
552,Dec,230010735,5,N,19.0602603,Szabó Anna,729924,1062,NO,szórakozás,64,47.4771073,3558,499770,62883,MASTERCARD,470000,2415 7037 3165 6192,5382376238,XXL,A38,1,3680250842,CreditAct,Y,1,0.0
2203,Stab,230010898,1,N,19.0602603,Soós Eszter,767982,1062,NO,szórakozás,39,47.4771073,6637,735300,75387,DINERS,740000,3203 8692 3489 2545,5382377889,L,A38,3,3680776745,TransCredit,N,0,0.0
323,IncInc,230011083,4,N,19.0602603,Fülöp Lara,188225,1062,L,szórakozás,72,47.4771073,4685,20039,98750,MASTERCARD,1040000,1793 2762 8266 2211,5382376009,S,A38,1,3680128216,TransCredit,N,1,0.0
731,Stab,230010882,5,F,19.0602603,Barta Milán,795959,1062,NO,szórakozás,23,47.4771073,1887,569051,249479,VISA,1160000,0853 4627 1347 5472,5382376417,XL,A38,3,3680212330,TransCredit,N,1,0.0
1008,Inc,230010758,3,F,19.0602603,Kis Vilmos,442596,1062,NO,szórakozás,71,47.4771073,4086,733888,212687,DINERS,810000,1146 2547 8475 9817,5382376694,L,A38,2,3680230536,Pension,N,0,0.0
914,Inact,230011017,1,N,19.0602603,Szilágyi Blanka,445522,1062,XS,szórakozás,58,47.4771073,6788,288691,170093,AMEX,1020000,0625 0830 8340 2773,5382376600,L,A38,3,3680176089,Pension,Y,0,0.0
230,Dec,230010740,4,F,19.0602603,Balla Gergő,543744,1062,XS,szórakozás,25,47.4771073,1089,364013,313644,DINERS,380000,6571 8786 8679 5500,5382375916,L,A38,3,3680672871,NoTrans,Y,0,0.0
202,Dec,230010830,2,N,19.0602603,Simon Mira,248071,1062,XS,szórakozás,71,47.4771073,7959,263786,97046,DINERS,980000,4376 1611 5685 3730,5382375888,L,A38,2,3680277046,TransCredit,N,0,0.0
1336,Inc,230011014,2,F,19.0602603,Budai Kristóf,231596,1062,NO,szórakozás,71,47.4771073,3829,169134,285511,JCB,1170000,0275 6629 2314 6539,5382377022,S,A38,3,3680445688,TransCredit,N,1,0.0
1358,Dec,230010986,5,F,19.0602603,Kocsis Martin,497340,1062,XS,szórakozás,58,47.4771073,3068,597404,155838,MAESTRO,1060000,2271 0193 1772 3254,5382377044,XXL,A38,1,3680809819,TransCredit,N,0,0.0
107,Inc,230010712,2,F,19.0602603,Barta Zoltán,130044,1062,NO,szórakozás,39,47.4771073,6245,172763,138786,DINERS,350000,2024 2670 5804 2644,5382375793,L,A38,1,3680557508,CreditAct,Y,0,0.0
1915,IncInc,230010919,1,F,19.0602603,Kis Milán,949427,1062,XS,szórakozás,48,47.4771073,6766,624674,40911,DINERS,1100000,6329 3590 6869 9905,5382377601,XL,A38,1,3680160491,NoTrans,N,1,0.0
1832,IncInc,230010919,1,F,19.0602603,Kis Milán,949427,1062,XS,szórakozás,48,47.4771073,2559,624674,40911,DINERS,1100000,6329 3590 6869 9905,5382377518,XL,A38,1,3680160491,NoTrans,N,1,0.0
1836,IncInc,230010919,1,F,19.0602603,Kis Milán,949427,1062,XS,szórakozás,48,47.4771073,5427,624674,40911,DINERS,1100000,6329 3590 6869 9905,5382377522,XL,A38,1,3680160491,NoTrans,N,1,0.0
1322,Inact,230010996,1,F,19.141521,Bálint Márton,394455,1042,S,elektronikai,70,47.517732,184689,731653,254158,MASTERCARD,1120000,2871 7229 4142 6115,5382377008,M,HiFi Station,3,3680472249,Pension,Y,1,0.0
1323,Inact,230010996,1,F,19.141521,Bálint Márton,394455,1042,S,elektronikai,70,47.517732,189465,731653,254158,MASTERCARD,1120000,2871 7229 4142 6115,5382377009,M,HiFi Station,3,3680472249,Pension,Y,1,0.0
1029,Inc,230010861,3,N,19.141521,Szekeres Zoé,480216,1042,NO,elektronikai,32,47.517732,122330,383708,236324,DINERS,1140000,2802 4188 0712 0686,5382376715,XS,HiFi Station,2,3680603204,CreditAct,Y,0,0.0
2187,Dec,230010841,2,F,19.141521,Kocsis Sándor,961840,1042,XS,elektronikai,47,47.517732,202995,523018,163702,JCB,870000,1123 1078 2956 4714,5382377873,XS,HiFi Station,3,3680362721,Young,N,1,0.0
1607,DecDec,230010969,5,F,19.141521,Péter Bálint,533982,1042,S,elektronikai,72,47.517732,87385,572279,215022,MAESTRO,570000,9039 3418 6668 1776,5382377293,S,HiFi Station,1,3680161161,NoTrans,Y,0,0.0
1232,DecDec,230010969,5,F,19.141521,Péter Bálint,533982,1042,S,elektronikai,72,47.517732,138474,572279,215022,JCB,570000,0243 3333 3228 0122,5382376918,S,HiFi Station,1,3680161161,NoTrans,Y,0,0.0
2273,IncInc,230010995,1,F,19.141521,Borbély Vince,321466,1042,S,elektronikai,22,47.517732,249293,278104,160518,VISA,1130000,6969 8044 0342 0955,5382377959,XL,HiFi Station,1,3680429023,Young,Y,1,0.0
2256,Stab,230011000,3,F,19.141521,Kerekes Alex,1008108,1042,XS,elektronikai,55,47.517732,192295,728609,110827,AMEX,1020000,1485 0430 6715 7279,5382377942,XS,HiFi Station,2,3680120842,NoTrans,Y,0,0.0
2088,Inc,230010751,4,F,19.141521,Katona Soma,330487,1042,S,elektronikai,61,47.517732,182007,602628,300012,MAESTRO,290000,3846 4310 7462 3038,5382377774,S,HiFi Station,1,3680518934,NoTrans,Y,1,0.0
129,Inact,230010842,2,F,19.141521,Veres János,569665,1042,XS,elektronikai,75,47.517732,158883,423154,98781,MAESTRO,860000,2305 4242 1587 5041,5382375815,XXL,HiFi Station,3,3680297434,Young,Y,1,0.0
708,Inact,230010842,2,F,19.141521,Veres János,569665,1042,XS,elektronikai,75,47.517732,77330,423154,98781,MAESTRO,860000,2305 4242 1587 5041,5382376394,XXL,HiFi Station,3,3680297434,Young,Y,1,0.0
709,Inact,230010842,2,F,19.141521,Veres János,569665,1042,XS,elektronikai,75,47.517732,14173,423154,98781,MAESTRO,860000,2305 4242 1587 5041,5382376395,XXL,HiFi Station,3,3680297434,Young,Y,1,0.0
284,Stab,230010937,2,N,19.141521,Kis Hanna,621378,1042,S,elektronikai,38,47.517732,114034,533414,198572,JCB,560000,2628 3408 6537 6581,5382375970,XL,HiFi Station,2,3680725706,CreditAct,Y,1,0.0
663,Inc,230011103,2,N,19.141521,Orsós Alíz,299496,1042,M,elektronikai,20,47.517732,243150,67209,58049,JCB,380000,8988 8878 4206 7564,5382376349,S,HiFi Station,2,3680494786,Pension,Y,2,0.0
216,Inc,230011103,2,N,19.141521,Orsós Alíz,299496,1042,M,elektronikai,20,47.517732,60340,67209,58049,DINERS,380000,9547 0538 0000 9320,5382375902,S,HiFi Station,2,3680494786,Pension,Y,2,0.0
2133,IncInc,230010812,3,F,19.141521,Fazekas Miklós,187375,1042,S,elektronikai,74,47.517732,221210,335153,42300,JCB,670000,3126 5766 1655 0063,5382377819,M,HiFi Station,3,3680880199,NoTrans,Y,0,0.0
401,Dec,230011056,2,N,19.141521,Máté Adél,612593,1042,L,elektronikai,73,47.517732,214875,418,181068,VISA,400000,2137 4929 0549 8050,5382376087,XS,HiFi Station,2,3680380067,NoTrans,Y,2,0.0
1074,Dec,230010837,3,F,19.141521,Bálint Patrik,251673,1042,NO,elektronikai,74,47.517732,61330,648224,26442,JCB,100000,9875 1642 4267 8234,5382376760,L,HiFi Station,3,3680827753,NoTrans,Y,0,0.0
1577,DecDec,230011102,4,F,19.141521,Orbán Áron,363028,1042,L,elektronikai,75,47.517732,161107,61287,200640,MASTERCARD,580000,4102 4615 9050 0243,5382377263,L,HiFi Station,2,3680600103,TransCredit,N,3,1.0
902,DecDec,230011102,4,F,19.141521,Orbán Áron,363028,1042,L,elektronikai,75,47.517732,44031,61287,200640,AMEX,580000,9346 2040 2466 1368,5382376588,L,HiFi Station,2,3680600103,TransCredit,N,3,0.0
1087,Stab,230011009,4,N,19.141521,Simon Abigél,982061,1042,XS,elektronikai,43,47.517732,218355,758028,64248,MASTERCARD,820000,0130 8405 1665 5304,5382376773,S,HiFi Station,1,3680488001,NoTrans,N,0,0.0
778,IncInc,230010933,2,N,19.141521,Márton Adrienn,31765,1042,NO,elektronikai,55,47.517732,138434,246987,83559,AMEX,1000000,5863 8678 3453 5461,5382376464,M,HiFi Station,3,3680226588,Young,N,0,0.0
1925,Inc,230010788,1,F,19.141521,Katona Benedek,243901,1042,NO,elektronikai,38,47.517732,13852,581048,176753,AMEX,720000,7839 5456 1318 1890,5382377611,L,HiFi Station,1,3680420503,Pension,Y,1,0.0
1368,Inc,230010788,1,F,19.141521,Katona Benedek,243901,1042,NO,elektronikai,38,47.517732,137517,581048,176753,MASTERCARD,720000,2653 6699 7459 3065,5382377054,L,HiFi Station,1,3680420503,Pension,Y,1,0.0
622,IncInc,230011053,4,N,19.141521,Nagy Noémi,75621,1042,M,elektronikai,29,47.517732,100780,8229,231391,DINERS,670000,1573 3800 5089 4176,5382376308,XL,HiFi Station,3,3680539642,TransCredit,N,1,0.0
227,Inact,230010741,3,F,19.141521,Pásztor Dániel,960566,1042,NO,elektronikai,64,47.517732,154164,546655,315304,MASTERCARD,950000,6599 8645 7418 0451,5382375913,S,HiFi Station,2,3680369814,Young,Y,0,0.0
2067,DecDec,230010895,4,N,19.141521,Borbély Adél,1008454,1042,XS,elektronikai,47,47.517732,234952,597727,319677,AMEX,370000,4290 9338 7715 5732,5382377753,S,HiFi Station,1,3680458235,TransCredit,Y,0,0.0
939,Inc,230011025,1,F,19.141521,Nemes Kevin,132477,1042,S,elektronikai,18,47.517732,36753,259119,59143,VISA,110000,8872 4443 9500 7742,5382376625,S,HiFi Station,3,3680447005,Young,N,0,0.0
1241,DecDec,230010724,3,N,19.141521,Szekeres Zselyke,651882,1042,S,elektronikai,28,47.517732,47592,337748,297369,DINERS,1030000,0782 6898 4878 4070,5382376927,XXL,HiFi Station,2,3680126509,TransCredit,N,1,0.0
673,Stab,230011015,4,N,19.141521,Horváth Szonja,409079,1042,S,elektronikai,19,47.517732,168815,566890,82674,DINERS,240000,7890 9419 3959 6201,5382376359,M,HiFi Station,3,3680532393,CreditAct,N,0,0.0
1161,Stab,230011033,1,N,19.141521,Bodnár Emese,237113,1042,M,elektronikai,43,47.517732,240228,51740,96913,AMEX,160000,3763 9611 1988 5333,5382376847,XXL,HiFi Station,1,3680586686,Young,Y,2,0.0
1511,DecDec,230010938,5,N,19.141521,Orosz Luca,482001,1042,NO,elektronikai,55,47.517732,178320,578935,29160,JCB,100000,6721 8344 0684 1357,5382377197,XS,HiFi Station,3,3680790305,CreditAct,Y,1,0.0
1306,Stab,230010815,2,N,19.141521,Mészáros Zoé,494786,1042,XS,elektronikai,21,47.517732,62315,228166,282680,VISA,1060000,7412 9725 7165 5007,5382376992,XS,HiFi Station,2,3680593007,Pension,Y,1,0.0
1273,Stab,230010815,2,N,19.141521,Mészáros Zoé,494786,1042,XS,elektronikai,21,47.517732,214351,228166,282680,AMEX,1060000,4820 5177 1365 3539,5382376959,XS,HiFi Station,2,3680593007,Pension,Y,1,0.0
2201,IncInc,230010800,5,F,19.141521,Kis Rikárdó,196793,1042,S,elektronikai,50,47.517732,164943,486804,269672,AMEX,1040000,0458 2328 6663 3554,5382377887,XXL,HiFi Station,3,3680174551,TransCredit,Y,1,0.0
1757,Stab,230010846,3,N,19.141521,Halász Dorottya,116263,1042,NO,elektronikai,68,47.517732,113017,648864,211982,MASTERCARD,230000,0545 1688 8943 9243,5382377443,L,HiFi Station,1,3680689126,CreditAct,N,0,0.0
221,Stab,230010846,3,N,19.141521,Halász Dorottya,116263,1042,NO,elektronikai,68,47.517732,194334,648864,211982,DINERS,230000,8417 8764 7881 2252,5382375907,L,HiFi Station,1,3680689126,CreditAct,N,0,0.0
2147,DecDec,230010901,4,N,19.141521,Lukács Kinga,965850,1042,XS,elektronikai,50,47.517732,178333,701002,108633,AMEX,410000,5477 7710 3241 5258,5382377833,XL,HiFi Station,3,3680421859,Young,N,0,0.0
1541,Inc,230010714,1,F,19.141521,Bakos Gergely,843260,1042,NO,elektronikai,59,47.517732,84588,613197,139138,AMEX,480000,5949 4214 2437 4750,5382377227,XXL,HiFi Station,1,3680882556,Pension,N,0,0.0
832,IncInc,230011064,4,F,19.141521,Szőke Ármin,533942,1042,XL,elektronikai,20,47.517732,31858,76623,190099,MAESTRO,550000,2167 9719 6711 9155,5382376518,XL,HiFi Station,2,3680506162,TransCredit,Y,3,0.0
1386,Inact,230010771,4,N,19.141521,Lukács Eszter,98704,1042,XS,elektronikai,19,47.517732,167288,548659,69808,JCB,710000,8727 9235 7792 5675,5382377072,M,HiFi Station,2,3680291133,TransCredit,N,0,0.0
451,DecDec,230010856,5,F,19.141521,Váradi Levente,822237,1042,S,elektronikai,65,47.517732,26300,742444,92319,AMEX,690000,1036 1956 3046 0756,5382376137,M,HiFi Station,1,3680598341,CreditAct,Y,1,0.0
1220,Dec,230011088,4,F,19.141521,Orosz Noel,298560,1042,L,elektronikai,38,47.517732,54122,99352,54702,DINERS,700000,3791 9448 3982 0933,5382376906,XS,HiFi Station,3,3680504147,CreditAct,N,2,0.0
1627,Stab,230011089,1,N,19.141521,Nagy Fruzsina,831430,1042,L,elektronikai,68,47.517732,109005,12242,101114,MASTERCARD,110000,1563 7833 1810 4812,5382377313,XS,HiFi Station,2,3680844089,Pension,N,2,0.0
516,Stab,230011089,1,N,19.141521,Nagy Fruzsina,831430,1042,L,elektronikai,68,47.517732,44196,12242,101114,VISA,110000,0301 3338 9027 2760,5382376202,XS,HiFi Station,2,3680844089,Pension,N,2,0.0
797,Dec,230011059,1,N,19.141521,Hegedüs Csenge,892272,1042,L,elektronikai,21,47.517732,69121,166177,290906,MAESTRO,430000,2778 9006 7700 5871,5382376483,S,HiFi Station,1,3680135350,NoTrans,Y,3,0.0
802,Dec,230011059,1,N,19.141521,Hegedüs Csenge,892272,1042,L,elektronikai,21,47.517732,42971,166177,290906,MAESTRO,430000,2778 9006 7700 5871,5382376488,S,HiFi Station,1,3680135350,NoTrans,Y,3,0.0
2302,DecDec,230010939,2,F,19.141521,Orosz Richárd,218197,1042,NO,elektronikai,75,47.517732,58477,286027,303660,MASTERCARD,150000,0681 4468 0574 4693,5382377988,S,HiFi Station,1,3680578226,CreditAct,Y,0,0.0
1101,DecDec,230010981,1,F,19.141521,Szalai Csongor,198222,1042,NO,elektronikai,27,47.517732,203709,210161,172319,DINERS,810000,9330 5691 3616 0807,5382376787,M,HiFi Station,2,3680789380,Pension,Y,1,0.0
1464,IncInc,230011086,1,F,19.141521,Szilágyi Norbert,600153,1042,L,elektronikai,31,47.517732,37611,135335,271404,MASTERCARD,110000,4842 9051 9875 0714,5382377150,M,HiFi Station,1,3680193056,TransCredit,Y,1,0.0
1822,Stab,230010883,3,F,19.141521,Váradi Benett,939653,1042,NO,elektronikai,64,47.517732,115807,551084,300556,MASTERCARD,280000,4591 1510 6111 0666,5382377508,L,HiFi Station,3,3680164600,Pension,N,1,0.0
341,Inact,230010940,1,N,19.141521,Orbán Diána,382381,1042,NO,elektronikai,73,47.517732,65345,490705,89237,JCB,700000,7210 1913 9727 2697,5382376027,L,HiFi Station,1,3680740236,NoTrans,N,1,0.0
682,Stab,230010873,2,N,19.141521,Szűcs Alíz,558176,1042,NO,elektronikai,34,47.517732,177485,482317,64322,DINERS,530000,0024 2063 3703 0436,5382376368,S,HiFi Station,2,3680756445,NoTrans,N,0,0.0
